4767,(株)テー・オー・ダブリュー,
4768,(株)大塚商会,
4775,総合メディカル(株),
4776,サイボウズ(株),
4779,ソフトブレーン(株),
4799,(株)アグレックス,
4801,セントラルスポーツ(株),
4812,ISID,
4825,(株)ウェザーニューズ,
4826,(株)CIJ,
4839,(株)WOWOW,
4848,(株)フルキャストホールディングス,
4901,富士フイルムホールディングス(株),
4902,コニカミノルタホールディングス(株),
4911,(株)資生堂,
4912,ライオン(株),
4914,高砂香料工業(株),
4917,(株)マンダム,
4919,(株)ミルボン,
4921,(株)ファンケル,
4922,(株)コーセー,
4924,(株)ドクターシーラボ,
4927,(株)ポーラ・オルビスホールディングス,
4951,エステー(株),
4956,コニシ(株),
4958,長谷川香料(株),
4963,星光PMC(株),
4967,小林製薬(株),
4968,荒川化学工業(株),
4971,メック(株),
4973,日本高純度化学(株),
4975,JCU,
4985,アース製薬(株),
4989,イハラケミカル工業(株),
4992,北興化学工業(株),
4994,大成ラミック(株),
4996,クミアイ化学工業(株),
4997,日本農薬(株),
5002,昭和シェル石油(株),
5007,コスモ石油(株),
5009,富士興産(株),
5011,ニチレキ(株),
5012,東燃ゼネラル石油(株),
5013,ユシロ化学工業(株),
5015,ビーピー・カストロール(株),
5017,AOCホールディングス(株),
5018,(株)MORESCO,
5019,出光興産(株),
5020,JXホールディングス(株),
5101,横浜ゴム(株),
5105,東洋ゴム工業(株),
5108,(株)ブリヂストン,
5110,住友ゴム工業(株),
5121,藤倉ゴム工業(株),
5122,オカモト(株),
5142,アキレス(株),
5185,(株)フコク,
5186,ニッタ(株),
5187,クリエートメディック(株),
5191,東海ゴム工業(株),
5192,三ツ星ベルト(株),
5195,バンドー化学(株),
5196,鬼怒川ゴム工業(株),
5201,旭硝子(株),
5202,日本板硝子(株),
5204,石塚硝子(株),
5208,(株)有沢製作所,
5210,日本山村硝子(株),
5214,日本電気硝子(株),
5218,(株)オハラ,
5232,住友大阪セメント(株),
5233,太平洋セメント(株),
5234,(株)デイ・シイ,
5261,リゾートソリューション(株),
5262,日本ヒューム(株),
5269,日本コンクリート工業(株),
5301,東海カーボン(株),
5302,日本カーボン(株),
5310,東洋炭素(株),
5331,(株)ノリタケカンパニーリミテド,
5332,TOTO(株),
5333,日本ガイシ(株),
5334,日本特殊陶業(株),
5337,ダントーホールディングス(株),
5344,(株)MARUWA,
5351,品川リフラクトリーズ(株),
5352,黒崎播磨(株),
5363,(株)TYK,
5367,(株)ニッカトー,
5384,(株)フジミインコーポレーテッド,
5391,(株)エーアンドエーマテリアル,
5393,ニチアス(株),
5401,新日本製鐵(株),
5405,住友金属工業(株),
5406,(株)神戸製鋼所,
5407,日新製鋼(株),
5408,(株)中山製鋼所,
5410,合同製鐵(株),
5411,ジェイ　エフ　イー　ホールディングス(株),
5423,東京製鐵(株),
5440,共英製鋼(株),
5444,大和工業(株),
5445,東京鐵鋼(株),
5449,大阪製鐵(株),
5451,(株)淀川製鋼所,
5453,東洋鋼鈑(株),
5457,住友鋼管(株),
5463,丸一鋼管(株),
5464,モリ工業(株),
5471,大同特殊鋼(株),
5476,日本高周波鋼業(株),
5479,日本金属工業(株),
5480,日本冶金工業(株),
5481,山陽特殊製鋼(株),
5482,愛知製鋼(株),
5486,日立金属(株),
5491,日本金属(株),
5541,大平洋金属(株),
5563,日本電工(株),
5602,(株)栗本鐵工所,
5612,日本鋳鉄管(株),
5631,(株)日本製鋼所,
5632,三菱製鋼(株),
5658,日亜鋼業(株),
